Month,¸ðµ¨,ÆÇ¸Å·®,Á¡À¯À²,Àü¿ù´ëºñ,Àü¿ù´ëºñº¯È­·®,Àü³â´ëºñ,Àü³â´ëºñº¯È­·®
2022-01-00,1 Series,145,0.10%,76,69¡ã,260,115¡å
2022-02-00,1 Series,97,0.10%,145,48¡å,214,117¡å
2022-03-00,1 Series,192,0.10%,97,95¡ã,252,60¡å
2022-04-00,1 Series,71,0.00%,192,121¡å,137,66¡å
2022-05-00,1 Series,218,0.20%,71,147¡ã,145,73¡ã
2022-06-00,1 Series,190,0.10%,218,28¡å,129,61¡ã
2022-07-00,1 Series,260,0.20%,190,70¡ã,197,63¡ã
2022-08-00,1 Series,250,0.20%,260,10¡å,418,168¡å
2022-09-00,1 Series,148,0.10%,250,102¡å,219,71¡å
2022-10-00,1 Series,99,0.10%,148,49¡å,179,80¡å
2022-11-00,1 Series,87,0.10%,99,12¡å,121,34¡å
2022-12-00,1 Series,75,0.00%,87,12¡å,76,1¡å
2023-01-00,1 Series,73,0.10%,75,2¡å,145,72¡å
2023-02-00,1 Series,83,0.10%,73,10¡ã,97,14¡å
2023-03-00,1 Series,67,0.00%,83,16¡å,192,125¡å
2023-04-00,1 Series,76,0.10%,67,9¡ã,71,5¡ã
2023-05-00,1 Series,95,0.10%,76,19¡ã,218,123¡å
2023-06-00,1 Series,148,0.10%,95,53¡ã,190,42¡å
2023-07-00,1 Series,112,0.10%,148,36¡å,260,148¡å
2023-08-00,1 Series,111,0.10%,112,1¡å,250,139¡å
2023-09-00,1 Series,228,0.20%,111,117¡ã,148,80¡ã
2023-10-00,1 Series,275,0.20%,228,47¡ã,99,176¡ã
2023-11-00,1 Series,318,0.20%,275,43¡ã,87,231¡ã
2023-12-00,1 Series,209,0.10%,318,109¡å,75,134¡ã
2024-01-00,1 Series,38,0.00%,209,171¡å,73,35¡å
2024-02-00,1 Series,70,0.10%,38,32¡ã,83,13¡å
2024-03-00,1 Series,62,0.00%,70,8¡å,67,5¡å
2024-04-00,1 Series,53,0.00%,62,9¡å,76,23¡å
2024-05-00,1 Series,58,0.00%,53,5¡ã,95,37¡å
2024-06-00,1 Series,64,0.00%,58,6¡ã,148,84¡å
2024-07-00,1 Series,174,0.10%,64,110¡ã,112,62¡ã
2024-08-00,1 Series,167,0.10%,174,7¡å,111,56¡ã
2024-09-00,1 Series,100,0.10%,167,67¡å,228,128¡å
2022-04-00,2 Series,76,0.10%,0,76¡ã,0,76¡ã
2022-05-00,2 Series,70,0.00%,76,6¡å,0,70¡ã
2022-06-00,2 Series,76,0.10%,70,6¡ã,0,76¡ã
2022-07-00,2 Series,109,0.10%,76,33¡ã,0,109¡ã
2022-08-00,2 Series,239,0.20%,109,130¡ã,0,239¡ã
2022-09-00,2 Series,78,0.10%,239,161¡å,0,78¡ã
2022-10-00,2 Series,10,0.00%,78,68¡å,0,10¡ã
2022-11-00,2 Series,118,0.10%,10,108¡ã,0,118¡ã
2022-12-00,2 Series,103,0.10%,118,15¡å,0,103¡ã
2023-01-00,2 Series,42,0.00%,103,61¡å,0,42¡ã
2023-02-00,2 Series,57,0.00%,42,15¡ã,0,57¡ã
2023-03-00,2 Series,47,0.00%,57,10¡å,0,47¡ã
2023-04-00,2 Series,34,0.00%,47,13¡å,76,42¡å
2023-05-00,2 Series,42,0.00%,34,8¡ã,70,28¡å
2023-06-00,2 Series,66,0.00%,42,24¡ã,76,10¡å
2023-07-00,2 Series,34,0.00%,66,32¡å,109,75¡å
2023-08-00,2 Series,41,0.00%,34,7¡ã,239,198¡å
2023-09-00,2 Series,96,0.10%,41,55¡ã,78,18¡ã
2023-10-00,2 Series,60,0.00%,96,36¡å,10,50¡ã
2023-11-00,2 Series,64,0.00%,60,4¡ã,118,54¡å
2023-12-00,2 Series,27,0.00%,64,37¡å,103,76¡å
2024-01-00,2 Series,10,0.00%,27,17¡å,42,32¡å
2024-02-00,2 Series,46,0.00%,10,36¡ã,57,11¡å
2024-03-00,2 Series,41,0.00%,46,5¡å,47,6¡å
2024-04-00,2 Series,18,0.00%,41,23¡å,34,16¡å
2024-05-00,2 Series,34,0.00%,18,16¡ã,42,8¡å
2024-06-00,2 Series,23,0.00%,34,11¡å,66,43¡å
2024-07-00,2 Series,58,0.00%,23,35¡ã,34,24¡ã
2024-08-00,2 Series,79,0.10%,58,21¡ã,41,38¡ã
2024-09-00,2 Series,66,0.10%,79,13¡å,96,30¡å
2022-10-00,2 Series Active Tourer,62,0.00%,0,62¡ã,0,62¡ã
2022-11-00,2 Series Active Tourer,85,0.10%,62,23¡ã,0,85¡ã
2022-12-00,2 Series Active Tourer,66,0.00%,85,19¡å,0,66¡ã
2023-01-00,2 Series Active Tourer,22,0.00%,66,44¡å,0,22¡ã
2023-02-00,2 Series Active Tourer,16,0.00%,22,6¡å,0,16¡ã
2023-03-00,2 Series Active Tourer,16,0.00%,16,0¡å,0,16¡ã
2023-04-00,2 Series Active Tourer,67,0.00%,16,51¡ã,0,67¡ã
2023-05-00,2 Series Active Tourer,70,0.00%,67,3¡ã,0,70¡ã
2023-06-00,2 Series Active Tourer,69,0.00%,70,1¡å,0,69¡ã
2023-07-00,2 Series Active Tourer,86,0.10%,69,17¡ã,0,86¡ã
2023-08-00,2 Series Active Tourer,143,0.10%,86,57¡ã,0,143¡ã
2023-09-00,2 Series Active Tourer,172,0.10%,143,29¡ã,0,172¡ã
2023-10-00,2 Series Active Tourer,157,0.10%,172,15¡å,62,95¡ã
2023-11-00,2 Series Active Tourer,101,0.10%,157,56¡å,85,16¡ã
2023-12-00,2 Series Active Tourer,128,0.10%,101,27¡ã,66,62¡ã
2024-01-00,2 Series Active Tourer,46,0.00%,128,82¡å,22,24¡ã
2024-02-00,2 Series Active Tourer,81,0.10%,46,35¡ã,16,65¡ã
2024-03-00,2 Series Active Tourer,114,0.10%,81,33¡ã,16,98¡ã
2024-04-00,2 Series Active Tourer,131,0.10%,114,17¡ã,67,64¡ã
2024-05-00,2 Series Active Tourer,97,0.10%,131,34¡å,70,27¡ã
2024-06-00,2 Series Active Tourer,53,0.00%,97,44¡å,69,16¡å
2024-07-00,2 Series Active Tourer,53,0.00%,53,0¡å,86,33¡å
2024-08-00,2 Series Active Tourer,59,0.00%,53,6¡ã,143,84¡å
2024-09-00,2 Series Active Tourer,48,0.00%,59,11¡å,172,124¡å
2022-01-00,2008,4,0.00%,43,39¡å,11,7¡å
2022-02-00,2008,40,0.00%,4,36¡ã,20,20¡ã
2022-03-00,2008,195,0.10%,40,155¡ã,102,93¡ã
2022-04-00,2008,66,0.00%,195,129¡å,73,7¡å
2022-05-00,2008,26,0.00%,66,40¡å,51,25¡å
2022-06-00,2008,19,0.00%,26,7¡å,64,45¡å
2022-07-00,2008,10,0.00%,19,9¡å,57,47¡å
2022-08-00,2008,24,0.00%,10,14¡ã,81,57¡å
2022-09-00,2008,84,0.10%,24,60¡ã,91,7¡å
2022-10-00,2008,60,0.00%,84,24¡å,109,49¡å
2022-11-00,2008,26,0.00%,60,34¡å,54,28¡å
2022-12-00,2008,6,0.00%,26,20¡å,43,37¡å
2023-01-00,2008,4,0.00%,6,2¡å,4,0¡å
2023-02-00,2008,6,0.00%,4,2¡ã,40,34¡å
2023-03-00,2008,9,0.00%,6,3¡ã,195,186¡å
2023-04-00,2008,1,0.00%,9,8¡å,66,65¡å
2023-05-00,2008,1,0.00%,1,0¡å,26,25¡å
2023-06-00,2008,4,0.00%,1,3¡ã,19,15¡å
2023-07-00,2008,1,0.00%,4,3¡å,10,9¡å
2023-08-00,2008,5,0.00%,1,4¡ã,24,19¡å
2023-09-00,2008,9,0.00%,5,4¡ã,84,75¡å
2023-10-00,2008,10,0.00%,9,1¡ã,60,50¡å
2023-11-00,2008,41,0.00%,10,31¡ã,26,15¡ã
2023-12-00,2008,25,0.00%,41,16¡å,6,19¡ã
2024-01-00,2008,15,0.00%,25,10¡å,4,11¡ã
2024-02-00,2008,27,0.00%,15,12¡ã,6,21¡ã
2024-03-00,2008,5,0.00%,27,22¡å,9,4¡å
2022-01-00,3 Series,550,0.50%,433,117¡ã,593,43¡å
2022-02-00,3 Series,419,0.30%,550,131¡å,823,404¡å
2022-03-00,3 Series,931,0.70%,419,512¡ã,884,47¡ã
2022-04-00,3 Series,694,0.50%,931,237¡å,713,19¡å
2022-05-00,3 Series,675,0.50%,694,19¡å,604,71¡ã
2022-06-00,3 Series,778,0.50%,675,103¡ã,772,6¡ã
2022-07-00,3 Series,601,0.40%,778,177¡å,834,233¡å
2022-08-00,3 Series,393,0.30%,601,208¡å,672,279¡å
2022-09-00,3 Series,458,0.30%,393,65¡ã,549,91¡å
2022-10-00,3 Series,117,0.10%,458,341¡å,472,355¡å
2022-11-00,3 Series,689,0.40%,0,689¡ã,0,689¡ã
2022-12-00,3 Series,499,0.30%,689,190¡å,0,499¡ã
2023-01-00,3 Series,515,0.40%,499,16¡ã,0,515¡ã
2023-02-00,3 Series,292,0.20%,515,223¡å,0,292¡ã
2023-03-00,3 Series,388,0.20%,292,96¡ã,0,388¡ã
2023-04-00,3 Series,578,0.40%,388,190¡ã,0,578¡ã
2023-05-00,3 Series,399,0.30%,578,179¡å,0,399¡ã
2023-06-00,3 Series,679,0.40%,399,280¡ã,0,679¡ã
2023-07-00,3 Series,532,0.40%,679,147¡å,0,532¡ã
2023-08-00,3 Series,497,0.40%,532,35¡å,0,497¡ã
2023-09-00,3 Series,842,0.60%,497,345¡ã,0,842¡ã
2023-10-00,3 Series,958,0.70%,842,116¡ã,0,958¡ã
2023-11-00,3 Series,197,0.10%,958,761¡å,689,492¡å
2023-12-00,3 Series,357,0.30%,197,160¡ã,499,142¡å
2024-01-00,3 Series,207,0.20%,357,150¡å,515,308¡å
2024-02-00,3 Series,235,0.20%,207,28¡ã,292,57¡å
2024-03-00,3 Series,422,0.30%,235,187¡ã,388,34¡ã
2024-04-00,3 Series,487,0.30%,422,65¡ã,578,91¡å
2024-05-00,3 Series,477,0.30%,487,10¡å,399,78¡ã
2024-06-00,3 Series,436,0.30%,477,41¡å,679,243¡å
2024-07-00,3 Series,440,0.30%,436,4¡ã,532,92¡å
2024-08-00,3 Series,618,0.50%,440,178¡ã,497,121¡ã
2024-09-00,3 Series,622,0.50%,618,4¡ã,842,220¡å
2022-01-00,3008,58,0.10%,73,15¡å,0,58¡ã
2022-02-00,3008,77,0.10%,58,19¡ã,0,77¡ã
2022-03-00,3008,42,0.00%,77,35¡å,0,42¡ã
2022-04-00,3008,62,0.00%,42,20¡ã,0,62¡ã
2022-05-00,3008,36,0.00%,62,26¡å,58,22¡å
2022-06-00,3008,39,0.00%,36,3¡ã,54,15¡å
2022-07-00,3008,33,0.00%,39,6¡å,29,4¡ã
2022-08-00,3008,20,0.00%,33,13¡å,28,8¡å
2022-09-00,3008,30,0.00%,20,10¡ã,26,4¡ã
2022-10-00,3008,13,0.00%,30,17¡å,34,21¡å
2022-11-00,3008,24,0.00%,13,11¡ã,52,28¡å
2022-12-00,3008,37,0.00%,24,13¡ã,73,36¡å
2023-01-00,3008,27,0.00%,37,10¡å,58,31¡å
2023-02-00,3008,21,0.00%,27,6¡å,77,56¡å
2023-03-00,3008,46,0.00%,21,25¡ã,42,4¡ã
2023-04-00,3008,44,0.00%,46,2¡å,62,18¡å
2023-05-00,3008,89,0.10%,44,45¡ã,36,53¡ã
2023-06-00,3008,57,0.00%,89,32¡å,39,18¡ã
2023-07-00,3008,34,0.00%,57,23¡å,33,1¡ã
2023-08-00,3008,30,0.00%,34,4¡å,20,10¡ã
2023-09-00,3008,12,0.00%,30,18¡å,30,18¡å
2023-10-00,3008,8,0.00%,12,4¡å,13,5¡å
2023-11-00,3008,14,0.00%,8,6¡ã,24,10¡å
2023-12-00,3008,15,0.00%,14,1¡ã,37,22¡å
2024-01-00,3008,7,0.00%,15,8¡å,27,20¡å
2024-02-00,3008,11,0.00%,7,4¡ã,21,10¡å
2024-03-00,3008,14,0.00%,11,3¡ã,46,32¡å
2024-04-00,3008,8,0.00%,14,6¡å,44,36¡å
2024-05-00,3008,6,0.00%,8,2¡å,89,83¡å
2024-06-00,3008,7,0.00%,6,1¡ã,57,50¡å
2024-07-00,3008,3,0.00%,7,4¡å,34,31¡å
2024-08-00,3008,7,0.00%,3,4¡ã,30,23¡å
2024-09-00,3008,5,0.00%,7,2¡å,12,7¡å
2022-01-00,308,1,0.00%,2,1¡å,4,3¡å
2022-07-00,308,36,0.00%,0,36¡ã,0,36¡ã
2022-08-00,308,22,0.00%,36,14¡å,0,22¡ã
2022-09-00,308,15,0.00%,22,7¡å,0,15¡ã
2022-10-00,308,7,0.00%,15,8¡å,0,7¡ã
2022-11-00,308,17,0.00%,7,10¡ã,0,17¡ã
2022-12-00,308,9,0.00%,17,8¡å,0,9¡ã
2023-01-00,308,6,0.00%,9,3¡å,0,6¡ã
2023-02-00,308,7,0.00%,6,1¡ã,0,7¡ã
2023-03-00,308,12,0.00%,7,5¡ã,0,12¡ã
2023-04-00,308,9,0.00%,12,3¡å,0,9¡ã
2023-05-00,308,11,0.00%,9,2¡ã,0,11¡ã
2023-06-00,308,10,0.00%,11,1¡å,0,10¡ã
2023-07-00,308,5,0.00%,10,5¡å,36,31¡å
2023-08-00,308,17,0.00%,5,12¡ã,22,5¡å
2023-09-00,308,10,0.00%,17,7¡å,15,5¡å
2023-10-00,308,11,0.00%,10,1¡ã,7,4¡ã
2023-11-00,308,39,0.00%,11,28¡ã,17,22¡ã
2023-12-00,308,49,0.00%,39,10¡ã,9,40¡ã
2024-01-00,308,28,0.00%,49,21¡å,6,22¡ã
2024-02-00,308,22,0.00%,28,6¡å,7,15¡ã
2024-03-00,308,5,0.00%,22,17¡å,12,7¡å
2024-06-00,308,1,0.00%,0,1¡ã,10,9¡å
2022-01-00,4 Series,108,0.10%,78,30¡ã,29,79¡ã
2022-02-00,4 Series,139,0.10%,108,31¡ã,48,91¡ã
2022-03-00,4 Series,52,0.00%,139,87¡å,124,72¡å
2022-04-00,4 Series,98,0.10%,52,46¡ã,117,19¡å
2022-05-00,4 Series,119,0.10%,98,21¡ã,160,41¡å
2022-06-00,4 Series,69,0.00%,119,50¡å,242,173¡å
2022-07-00,4 Series,59,0.00%,69,10¡å,276,217¡å
2022-08-00,4 Series,143,0.10%,59,84¡ã,101,42¡ã
2022-09-00,4 Series,178,0.10%,143,35¡ã,81,97¡ã
2022-10-00,4 Series,171,0.10%,178,7¡å,98,73¡ã
2022-11-00,4 Series,101,0.10%,171,70¡å,233,132¡å
2022-12-00,4 Series,133,0.10%,101,32¡ã,78,55¡ã
2023-01-00,4 Series,112,0.10%,133,21¡å,108,4¡ã
2023-02-00,4 Series,82,0.10%,112,30¡å,139,57¡å
2023-03-00,4 Series,87,0.10%,82,5¡ã,52,35¡ã
2023-04-00,4 Series,77,0.10%,87,10¡å,98,21¡å
2023-05-00,4 Series,39,0.00%,77,38¡å,119,80¡å
2023-06-00,4 Series,165,0.10%,39,126¡ã,69,96¡ã
2023-07-00,4 Series,77,0.10%,165,88¡å,59,18¡ã
2023-08-00,4 Series,73,0.10%,77,4¡å,143,70¡å
2023-09-00,4 Series,138,0.10%,73,65¡ã,178,40¡å
2023-10-00,4 Series,146,0.10%,138,8¡ã,171,25¡å
2023-11-00,4 Series,95,0.10%,146,51¡å,101,6¡å
2023-12-00,4 Series,105,0.10%,95,10¡ã,133,28¡å
2024-01-00,4 Series,59,0.10%,105,46¡å,112,53¡å
2024-02-00,4 Series,119,0.10%,59,60¡ã,82,37¡ã
2024-03-00,4 Series,103,0.10%,119,16¡å,87,16¡ã
2024-04-00,4 Series,135,0.10%,103,32¡ã,77,58¡ã
2024-05-00,4 Series,136,0.10%,135,1¡ã,39,97¡ã
2024-06-00,4 Series,129,0.10%,136,7¡å,165,36¡å
2024-07-00,4 Series,119,0.10%,129,10¡å,77,42¡ã
2024-08-00,4 Series,110,0.10%,119,9¡å,73,37¡ã
2024-09-00,4 Series,89,0.10%,110,21¡å,138,49¡å
2023-05-00,408,25,0.00%,0,25¡ã,0,25¡ã
2023-06-00,408,103,0.10%,25,78¡ã,0,103¡ã
2023-07-00,408,46,0.00%,103,57¡å,0,46¡ã
2023-08-00,408,18,0.00%,46,28¡å,0,18¡ã
2023-09-00,408,34,0.00%,18,16¡ã,0,34¡ã
2023-10-00,408,27,0.00%,34,7¡å,0,27¡ã
2023-11-00,408,58,0.00%,27,31¡ã,0,58¡ã
2023-12-00,408,45,0.00%,58,13¡å,0,45¡ã
2024-01-00,408,33,0.00%,45,12¡å,0,33¡ã
2024-02-00,408,34,0.00%,33,1¡ã,0,34¡ã
2024-03-00,408,29,0.00%,34,5¡å,0,29¡ã
2024-04-00,408,37,0.00%,29,8¡ã,0,37¡ã
2024-05-00,408,44,0.00%,37,7¡ã,25,19¡ã
2024-06-00,408,40,0.00%,44,4¡å,103,63¡å
2024-07-00,408,39,0.00%,40,1¡å,46,7¡å
2024-08-00,408,24,0.00%,39,15¡å,18,6¡ã
2024-09-00,408,16,0.00%,24,8¡å,34,18¡å
2022-01-00,5 Series,"1,997",1.80%,"1,130",867¡ã,"1,730",267¡ã
2022-02-00,5 Series,"1,902",1.60%,"1,997",95¡å,"1,695",207¡ã
2022-03-00,5 Series,"1,532",1.10%,"1,902",370¡å,"1,567",35¡å
2022-04-00,5 Series,"2,391",1.70%,"1,532",859¡ã,"1,856",535¡ã
2022-05-00,5 Series,"1,765",1.20%,"2,391",626¡å,"2,120",355¡å
2022-06-00,5 Series,876,0.60%,"1,765",889¡å,"2,021","1,145¡å"
2022-07-00,5 Series,387,0.30%,876,489¡å,"1,601","1,214¡å"
2022-08-00,5 Series,"1,670",1.30%,387,"1,283¡ã","1,026",644¡ã
2022-09-00,5 Series,"1,895",1.40%,"1,670",225¡ã,854,"1,041¡ã"
2022-10-00,5 Series,"2,658",1.80%,"1,895",763¡ã,"1,262","1,396¡ã"
2022-11-00,5 Series,"2,231",1.40%,"2,658",427¡å,876,"1,355¡ã"
2022-12-00,5 Series,"2,209",1.40%,"2,231",22¡å,"1,130","1,079¡ã"
2023-01-00,5 Series,"2,124",1.80%,"2,209",85¡å,"1,997",127¡ã
2023-02-00,5 Series,"2,432",1.70%,"2,124",308¡ã,"1,902",530¡ã
2023-03-00,5 Series,"1,498",0.90%,"2,432",934¡å,"1,532",34¡å
2023-04-00,5 Series,"1,601",1.10%,"1,498",103¡ã,"2,391",790¡å
2023-05-00,5 Series,"1,761",1.20%,"1,601",160¡ã,"1,765",4¡å
2023-06-00,5 Series,"2,665",1.60%,"1,761",904¡ã,876,"1,789¡ã"
2023-07-00,5 Series,"1,811",1.30%,"2,665",854¡å,387,"1,424¡ã"
2023-08-00,5 Series,"1,707",1.30%,"1,811",104¡å,"1,670",37¡ã
2023-09-00,5 Series,459,0.30%,"1,707","1,248¡å","1,895","1,436¡å"
2023-10-00,5 Series,613,0.40%,0,613¡ã,0,613¡ã
2023-11-00,5 Series,"1,799",1.10%,613,"1,186¡ã",0,"1,799¡ã"
2023-11-00,5 Series,8,0.00%,31,23¡å,"2,231","2,223¡å"
2023-12-00,5 Series,"1,980",1.40%,"1,799",181¡ã,0,"1,980¡ã"
2023-12-00,5 Series,3,0.00%,8,5¡å,"2,209","2,206¡å"
2024-01-00,5 Series,"1,126",1.00%,"1,980",854¡å,0,"1,126¡ã"
2024-02-00,5 Series,"2,160",1.90%,"1,126","1,034¡ã",0,"2,160¡ã"
2024-03-00,5 Series,"2,252",1.50%,"2,160",92¡ã,0,"2,252¡ã"
2024-03-00,5 Series,7,0.00%,0,7¡ã,"1,498","1,491¡å"
2024-04-00,5 Series,"1,530",1.10%,"2,252",722¡å,0,"1,530¡ã"
2024-04-00,5 Series,26,0.00%,7,19¡ã,"1,601","1,575¡å"
2024-05-00,5 Series,"1,467",1.00%,"1,530",63¡å,0,"1,467¡ã"
2024-05-00,5 Series,14,0.00%,26,12¡å,"1,761","1,747¡å"
2024-06-00,5 Series,"1,574",1.10%,"1,467",107¡ã,0,"1,574¡ã"
2024-07-00,5 Series,"1,644",1.20%,"1,574",70¡ã,0,"1,644¡ã"
2024-07-00,5 Series,1,0.00%,0,1¡ã,"1,811","1,810¡å"
2024-08-00,5 Series,"1,118",0.90%,"1,644",526¡å,0,"1,118¡ã"
2024-09-00,5 Series,"1,998",1.50%,"1,118",880¡ã,0,"1,998¡ã"
2022-01-00,5008,41,0.00%,52,11¡å,0,41¡ã
2022-02-00,5008,41,0.00%,41,0¡å,0,41¡ã
2022-03-00,5008,25,0.00%,41,16¡å,0,25¡ã
2022-04-00,5008,34,0.00%,25,9¡ã,0,34¡ã
2022-05-00,5008,30,0.00%,34,4¡å,0,30¡ã
2022-06-00,5008,56,0.00%,30,26¡ã,64,8¡å
2022-07-00,5008,33,0.00%,56,23¡å,47,14¡å
2022-08-00,5008,22,0.00%,33,11¡å,38,16¡å
2022-09-00,5008,25,0.00%,22,3¡ã,34,9¡å
2022-10-00,5008,16,0.00%,25,9¡å,34,18¡å
2022-11-00,5008,21,0.00%,16,5¡ã,25,4¡å
2022-12-00,5008,45,0.00%,21,24¡ã,52,7¡å
2023-01-00,5008,24,0.00%,45,21¡å,41,17¡å
2023-02-00,5008,31,0.00%,24,7¡ã,41,10¡å
2023-03-00,5008,85,0.10%,31,54¡ã,25,60¡ã
2023-04-00,5008,36,0.00%,85,49¡å,34,2¡ã
2023-05-00,5008,23,0.00%,36,13¡å,30,7¡å
2023-06-00,5008,20,0.00%,23,3¡å,56,36¡å
2023-07-00,5008,14,0.00%,20,6¡å,33,19¡å
2023-08-00,5008,9,0.00%,14,5¡å,22,13¡å
2023-09-00,5008,23,0.00%,9,14¡ã,25,2¡å
2023-10-00,5008,16,0.00%,23,7¡å,16,0¡å
2023-11-00,5008,32,0.00%,16,16¡ã,21,11¡ã
2023-12-00,5008,42,0.00%,32,10¡ã,45,3¡å
2024-01-00,5008,17,0.00%,42,25¡å,24,7¡å
2024-02-00,5008,12,0.00%,17,5¡å,31,19¡å
2024-03-00,5008,10,0.00%,12,2¡å,85,75¡å
2024-04-00,5008,10,0.00%,10,0¡å,36,26¡å
2024-05-00,5008,15,0.00%,10,5¡ã,23,8¡å
2024-06-00,5008,10,0.00%,15,5¡å,20,10¡å
2024-07-00,5008,12,0.00%,10,2¡ã,14,2¡å
2024-08-00,5008,4,0.00%,12,8¡å,9,5¡å
2024-09-00,5008,6,0.00%,4,2¡ã,23,17¡å
2022-01-00,508,6,0.00%,31,25¡å,4,2¡ã
2022-02-00,508,19,0.00%,6,13¡ã,4,15¡ã
2022-05-00,508,8,0.00%,0,8¡ã,7,1¡ã
2022-06-00,508,10,0.00%,8,2¡ã,13,3¡å
2022-07-00,508,8,0.00%,10,2¡å,6,2¡ã
2022-08-00,508,2,0.00%,8,6¡å,6,4¡å
2022-09-00,508,2,0.00%,2,0¡å,22,20¡å
2022-10-00,508,7,0.00%,2,5¡ã,24,17¡å
2022-11-00,508,5,0.00%,7,2¡å,24,19¡å
2022-12-00,508,4,0.00%,5,1¡å,31,27¡å
2023-01-00,508,5,0.00%,4,1¡ã,6,1¡å
2023-02-00,508,5,0.00%,5,0¡å,19,14¡å
2023-03-00,508,7,0.00%,5,2¡ã,0,7¡ã
2023-04-00,508,3,0.00%,7,4¡å,0,3¡ã
2023-05-00,508,3,0.00%,3,0¡å,8,5¡å
2023-06-00,508,5,0.00%,3,2¡ã,10,5¡å
2023-07-00,508,1,0.00%,5,4¡å,8,7¡å
2023-08-00,508,5,0.00%,1,4¡ã,2,3¡ã
2023-09-00,508,12,0.00%,5,7¡ã,2,10¡ã
2023-10-00,508,3,0.00%,12,9¡å,7,4¡å
2023-11-00,508,2,0.00%,3,1¡å,5,3¡å
2023-12-00,508,3,0.00%,2,1¡ã,4,1¡å
2024-01-00,508,1,0.00%,3,2¡å,5,4¡å
2024-03-00,508,5,0.00%,0,5¡ã,7,2¡å
2024-04-00,508,1,0.00%,5,4¡å,3,2¡å
2022-02-00,508 SW,2,0.00%,0,2¡ã,0,2¡ã
2022-01-00,6 Series,329,0.30%,275,54¡ã,303,26¡ã
2022-02-00,6 Series,326,0.30%,329,3¡å,316,10¡ã
2022-03-00,6 Series,228,0.20%,326,98¡å,338,110¡å
2022-04-00,6 Series,502,0.40%,228,274¡ã,306,196¡ã
2022-05-00,6 Series,336,0.20%,502,166¡å,313,23¡ã
2022-06-00,6 Series,195,0.10%,336,141¡å,197,2¡å
2022-07-00,6 Series,152,0.10%,195,43¡å,514,362¡å
2022-08-00,6 Series,599,0.50%,152,447¡ã,195,404¡ã
2022-09-00,6 Series,528,0.40%,599,71¡å,227,301¡ã
2022-10-00,6 Series,397,0.30%,528,131¡å,311,86¡ã
2022-11-00,6 Series,309,0.20%,397,88¡å,111,198¡ã
2022-12-00,6 Series,357,0.20%,309,48¡ã,275,82¡ã
2023-01-00,6 Series,389,0.30%,357,32¡ã,329,60¡ã
2023-02-00,6 Series,653,0.40%,389,264¡ã,326,327¡ã
2023-03-00,6 Series,468,0.30%,653,185¡å,228,240¡ã
2023-04-00,6 Series,396,0.30%,468,72¡å,502,106¡å
2023-05-00,6 Series,522,0.30%,396,126¡ã,336,186¡ã
2023-06-00,6 Series,699,0.40%,522,177¡ã,195,504¡ã
2023-07-00,6 Series,434,0.30%,699,265¡å,152,282¡ã
2023-08-00,6 Series,445,0.30%,434,11¡ã,599,154¡å
2023-09-00,6 Series,550,0.40%,445,105¡ã,528,22¡ã
2023-10-00,6 Series,467,0.30%,550,83¡å,397,70¡ã
2023-11-00,6 Series,434,0.30%,467,33¡å,309,125¡ã
2023-12-00,6 Series,223,0.20%,434,211¡å,357,134¡å
2024-01-00,6 Series,124,0.10%,223,99¡å,389,265¡å
2024-02-00,6 Series,185,0.20%,124,61¡ã,653,468¡å
2024-03-00,6 Series,175,0.10%,185,10¡å,468,293¡å
2024-04-00,6 Series,210,0.10%,175,35¡ã,396,186¡å
2024-05-00,6 Series,689,0.50%,210,479¡ã,522,167¡ã
2024-06-00,6 Series,637,0.50%,689,52¡å,699,62¡å
2024-07-00,6 Series,680,0.50%,637,43¡ã,434,246¡ã
2024-08-00,6 Series,674,0.50%,680,6¡å,445,229¡ã
2024-09-00,6 Series,421,0.30%,674,253¡å,550,129¡å
2022-01-00,7 Series,194,0.20%,171,23¡ã,291,97¡å
2022-02-00,7 Series,188,0.20%,194,6¡å,218,30¡å
2022-03-00,7 Series,208,0.20%,188,20¡ã,254,46¡å
2022-04-00,7 Series,380,0.30%,208,172¡ã,223,157¡ã
2022-05-00,7 Series,250,0.20%,380,130¡å,328,78¡å
2022-06-00,7 Series,349,0.20%,250,99¡ã,424,75¡å
2022-07-00,7 Series,275,0.20%,349,74¡å,179,96¡ã
2022-08-00,7 Series,432,0.30%,275,157¡ã,74,358¡ã
2022-09-00,7 Series,302,0.20%,432,130¡å,141,161¡ã
2022-10-00,7 Series,51,0.00%,302,251¡å,241,190¡å
2022-11-00,7 Series,123,0.10%,51,72¡ã,142,19¡å
2022-12-00,7 Series,232,0.10%,0,232¡ã,0,232¡ã
2023-01-00,7 Series,91,0.10%,232,141¡å,0,91¡ã
2023-02-00,7 Series,140,0.10%,91,49¡ã,0,140¡ã
2023-03-00,7 Series,163,0.10%,140,23¡ã,0,163¡ã
2023-04-00,7 Series,214,0.10%,163,51¡ã,0,214¡ã
2023-05-00,7 Series,261,0.20%,214,47¡ã,0,261¡ã
2023-06-00,7 Series,388,0.20%,261,127¡ã,0,388¡ã
2023-07-00,7 Series,305,0.20%,388,83¡å,0,305¡ã
2023-08-00,7 Series,423,0.30%,305,118¡ã,0,423¡ã
2023-09-00,7 Series,368,0.30%,423,55¡å,0,368¡ã
2023-10-00,7 Series,210,0.10%,368,158¡å,0,210¡ã
