,Month,모델,판매량,점유율,전월대비,전월대비변화량,전년대비,전년대비변화량
0,2022-01-01,1 Series,145.0,0.10%,76,69▲,260,115▼
1,2022-02-01,1 Series,97.0,0.10%,145,48▼,214,117▼
2,2022-03-01,1 Series,192.0,0.10%,97,95▲,252,60▼
3,2022-04-01,1 Series,71.0,0.00%,192,121▼,137,66▼
4,2022-05-01,1 Series,218.0,0.20%,71,147▲,145,73▲
5,2022-06-01,1 Series,190.0,0.10%,218,28▼,129,61▲
6,2022-07-01,1 Series,260.0,0.20%,190,70▲,197,63▲
7,2022-08-01,1 Series,250.0,0.20%,260,10▼,418,168▼
8,2022-09-01,1 Series,148.0,0.10%,250,102▼,219,71▼
9,2022-10-01,1 Series,99.0,0.10%,148,49▼,179,80▼
10,2022-11-01,1 Series,87.0,0.10%,99,12▼,121,34▼
11,2022-12-01,1 Series,75.0,0.00%,87,12▼,76,1▼
12,2023-01-01,1 Series,73.0,0.10%,75,2▼,145,72▼
13,2023-02-01,1 Series,83.0,0.10%,73,10▲,97,14▼
14,2023-03-01,1 Series,67.0,0.00%,83,16▼,192,125▼
15,2023-04-01,1 Series,76.0,0.10%,67,9▲,71,5▲
16,2023-05-01,1 Series,95.0,0.10%,76,19▲,218,123▼
17,2023-06-01,1 Series,148.0,0.10%,95,53▲,190,42▼
18,2023-07-01,1 Series,112.0,0.10%,148,36▼,260,148▼
19,2023-08-01,1 Series,111.0,0.10%,112,1▼,250,139▼
20,2023-09-01,1 Series,228.0,0.20%,111,117▲,148,80▲
21,2023-10-01,1 Series,275.0,0.20%,228,47▲,99,176▲
22,2023-11-01,1 Series,318.0,0.20%,275,43▲,87,231▲
23,2023-12-01,1 Series,209.0,0.10%,318,109▼,75,134▲
24,2024-01-01,1 Series,38.0,0.00%,209,171▼,73,35▼
25,2024-02-01,1 Series,70.0,0.10%,38,32▲,83,13▼
26,2024-03-01,1 Series,62.0,0.00%,70,8▼,67,5▼
27,2024-04-01,1 Series,53.0,0.00%,62,9▼,76,23▼
28,2024-05-01,1 Series,58.0,0.00%,53,5▲,95,37▼
29,2024-06-01,1 Series,64.0,0.00%,58,6▲,148,84▼
30,2024-07-01,1 Series,174.0,0.10%,64,110▲,112,62▲
31,2024-08-01,1 Series,167.0,0.10%,174,7▼,111,56▲
32,2024-09-01,1 Series,100.0,0.10%,167,67▼,228,128▼
33,2022-04-01,2 Series,76.0,0.10%,0,76▲,0,76▲
34,2022-05-01,2 Series,70.0,0.00%,76,6▼,0,70▲
35,2022-06-01,2 Series,76.0,0.10%,70,6▲,0,76▲
36,2022-07-01,2 Series,109.0,0.10%,76,33▲,0,109▲
37,2022-08-01,2 Series,239.0,0.20%,109,130▲,0,239▲
38,2022-09-01,2 Series,78.0,0.10%,239,161▼,0,78▲
39,2022-10-01,2 Series,10.0,0.00%,78,68▼,0,10▲
40,2022-11-01,2 Series,118.0,0.10%,10,108▲,0,118▲
41,2022-12-01,2 Series,103.0,0.10%,118,15▼,0,103▲
42,2023-01-01,2 Series,42.0,0.00%,103,61▼,0,42▲
43,2023-02-01,2 Series,57.0,0.00%,42,15▲,0,57▲
44,2023-03-01,2 Series,47.0,0.00%,57,10▼,0,47▲
45,2023-04-01,2 Series,34.0,0.00%,47,13▼,76,42▼
46,2023-05-01,2 Series,42.0,0.00%,34,8▲,70,28▼
47,2023-06-01,2 Series,66.0,0.00%,42,24▲,76,10▼
48,2023-07-01,2 Series,34.0,0.00%,66,32▼,109,75▼
49,2023-08-01,2 Series,41.0,0.00%,34,7▲,239,198▼
50,2023-09-01,2 Series,96.0,0.10%,41,55▲,78,18▲
51,2023-10-01,2 Series,60.0,0.00%,96,36▼,10,50▲
52,2023-11-01,2 Series,64.0,0.00%,60,4▲,118,54▼
53,2023-12-01,2 Series,27.0,0.00%,64,37▼,103,76▼
54,2024-01-01,2 Series,10.0,0.00%,27,17▼,42,32▼
55,2024-02-01,2 Series,46.0,0.00%,10,36▲,57,11▼
56,2024-03-01,2 Series,41.0,0.00%,46,5▼,47,6▼
57,2024-04-01,2 Series,18.0,0.00%,41,23▼,34,16▼
58,2024-05-01,2 Series,34.0,0.00%,18,16▲,42,8▼
59,2024-06-01,2 Series,23.0,0.00%,34,11▼,66,43▼
60,2024-07-01,2 Series,58.0,0.00%,23,35▲,34,24▲
61,2024-08-01,2 Series,79.0,0.10%,58,21▲,41,38▲
62,2024-09-01,2 Series,66.0,0.10%,79,13▼,96,30▼
63,2022-10-01,2 Series Active Tourer,62.0,0.00%,0,62▲,0,62▲
64,2022-11-01,2 Series Active Tourer,85.0,0.10%,62,23▲,0,85▲
65,2022-12-01,2 Series Active Tourer,66.0,0.00%,85,19▼,0,66▲
66,2023-01-01,2 Series Active Tourer,22.0,0.00%,66,44▼,0,22▲
67,2023-02-01,2 Series Active Tourer,16.0,0.00%,22,6▼,0,16▲
68,2023-03-01,2 Series Active Tourer,16.0,0.00%,16,0▼,0,16▲
69,2023-04-01,2 Series Active Tourer,67.0,0.00%,16,51▲,0,67▲
70,2023-05-01,2 Series Active Tourer,70.0,0.00%,67,3▲,0,70▲
71,2023-06-01,2 Series Active Tourer,69.0,0.00%,70,1▼,0,69▲
72,2023-07-01,2 Series Active Tourer,86.0,0.10%,69,17▲,0,86▲
73,2023-08-01,2 Series Active Tourer,143.0,0.10%,86,57▲,0,143▲
74,2023-09-01,2 Series Active Tourer,172.0,0.10%,143,29▲,0,172▲
75,2023-10-01,2 Series Active Tourer,157.0,0.10%,172,15▼,62,95▲
76,2023-11-01,2 Series Active Tourer,101.0,0.10%,157,56▼,85,16▲
77,2023-12-01,2 Series Active Tourer,128.0,0.10%,101,27▲,66,62▲
78,2024-01-01,2 Series Active Tourer,46.0,0.00%,128,82▼,22,24▲
79,2024-02-01,2 Series Active Tourer,81.0,0.10%,46,35▲,16,65▲
80,2024-03-01,2 Series Active Tourer,114.0,0.10%,81,33▲,16,98▲
81,2024-04-01,2 Series Active Tourer,131.0,0.10%,114,17▲,67,64▲
82,2024-05-01,2 Series Active Tourer,97.0,0.10%,131,34▼,70,27▲
83,2024-06-01,2 Series Active Tourer,53.0,0.00%,97,44▼,69,16▼
84,2024-07-01,2 Series Active Tourer,53.0,0.00%,53,0▼,86,33▼
85,2024-08-01,2 Series Active Tourer,59.0,0.00%,53,6▲,143,84▼
86,2024-09-01,2 Series Active Tourer,48.0,0.00%,59,11▼,172,124▼
87,2022-01-01,2008,4.0,0.00%,43,39▼,11,7▼
88,2022-02-01,2008,40.0,0.00%,4,36▲,20,20▲
89,2022-03-01,2008,195.0,0.10%,40,155▲,102,93▲
90,2022-04-01,2008,66.0,0.00%,195,129▼,73,7▼
91,2022-05-01,2008,26.0,0.00%,66,40▼,51,25▼
92,2022-06-01,2008,19.0,0.00%,26,7▼,64,45▼
93,2022-07-01,2008,10.0,0.00%,19,9▼,57,47▼
94,2022-08-01,2008,24.0,0.00%,10,14▲,81,57▼
95,2022-09-01,2008,84.0,0.10%,24,60▲,91,7▼
96,2022-10-01,2008,60.0,0.00%,84,24▼,109,49▼
97,2022-11-01,2008,26.0,0.00%,60,34▼,54,28▼
98,2022-12-01,2008,6.0,0.00%,26,20▼,43,37▼
99,2023-01-01,2008,4.0,0.00%,6,2▼,4,0▼
100,2023-02-01,2008,6.0,0.00%,4,2▲,40,34▼
101,2023-03-01,2008,9.0,0.00%,6,3▲,195,186▼
102,2023-04-01,2008,1.0,0.00%,9,8▼,66,65▼
103,2023-05-01,2008,1.0,0.00%,1,0▼,26,25▼
104,2023-06-01,2008,4.0,0.00%,1,3▲,19,15▼
105,2023-07-01,2008,1.0,0.00%,4,3▼,10,9▼
106,2023-08-01,2008,5.0,0.00%,1,4▲,24,19▼
107,2023-09-01,2008,9.0,0.00%,5,4▲,84,75▼
108,2023-10-01,2008,10.0,0.00%,9,1▲,60,50▼
109,2023-11-01,2008,41.0,0.00%,10,31▲,26,15▲
110,2023-12-01,2008,25.0,0.00%,41,16▼,6,19▲
111,2024-01-01,2008,15.0,0.00%,25,10▼,4,11▲
112,2024-02-01,2008,27.0,0.00%,15,12▲,6,21▲
113,2024-03-01,2008,5.0,0.00%,27,22▼,9,4▼
114,2022-01-01,3 Series,550.0,0.50%,433,117▲,593,43▼
115,2022-02-01,3 Series,419.0,0.30%,550,131▼,823,404▼
116,2022-03-01,3 Series,931.0,0.70%,419,512▲,884,47▲
117,2022-04-01,3 Series,694.0,0.50%,931,237▼,713,19▼
118,2022-05-01,3 Series,675.0,0.50%,694,19▼,604,71▲
119,2022-06-01,3 Series,778.0,0.50%,675,103▲,772,6▲
120,2022-07-01,3 Series,601.0,0.40%,778,177▼,834,233▼
121,2022-08-01,3 Series,393.0,0.30%,601,208▼,672,279▼
122,2022-09-01,3 Series,458.0,0.30%,393,65▲,549,91▼
123,2022-10-01,3 Series,117.0,0.10%,458,341▼,472,355▼
124,2022-11-01,3 Series,689.0,0.40%,0,689▲,0,689▲
125,2022-12-01,3 Series,499.0,0.30%,689,190▼,0,499▲
126,2023-01-01,3 Series,515.0,0.40%,499,16▲,0,515▲
127,2023-02-01,3 Series,292.0,0.20%,515,223▼,0,292▲
128,2023-03-01,3 Series,388.0,0.20%,292,96▲,0,388▲
129,2023-04-01,3 Series,578.0,0.40%,388,190▲,0,578▲
130,2023-05-01,3 Series,399.0,0.30%,578,179▼,0,399▲
131,2023-06-01,3 Series,679.0,0.40%,399,280▲,0,679▲
132,2023-07-01,3 Series,532.0,0.40%,679,147▼,0,532▲
133,2023-08-01,3 Series,497.0,0.40%,532,35▼,0,497▲
134,2023-09-01,3 Series,842.0,0.60%,497,345▲,0,842▲
135,2023-10-01,3 Series,958.0,0.70%,842,116▲,0,958▲
136,2023-11-01,3 Series,197.0,0.10%,958,761▼,689,492▼
137,2023-12-01,3 Series,357.0,0.30%,197,160▲,499,142▼
138,2024-01-01,3 Series,207.0,0.20%,357,150▼,515,308▼
139,2024-02-01,3 Series,235.0,0.20%,207,28▲,292,57▼
140,2024-03-01,3 Series,422.0,0.30%,235,187▲,388,34▲
141,2024-04-01,3 Series,487.0,0.30%,422,65▲,578,91▼
142,2024-05-01,3 Series,477.0,0.30%,487,10▼,399,78▲
143,2024-06-01,3 Series,436.0,0.30%,477,41▼,679,243▼
144,2024-07-01,3 Series,440.0,0.30%,436,4▲,532,92▼
145,2024-08-01,3 Series,618.0,0.50%,440,178▲,497,121▲
146,2024-09-01,3 Series,622.0,0.50%,618,4▲,842,220▼
147,2022-01-01,3008,58.0,0.10%,73,15▼,0,58▲
148,2022-02-01,3008,77.0,0.10%,58,19▲,0,77▲
149,2022-03-01,3008,42.0,0.00%,77,35▼,0,42▲
150,2022-04-01,3008,62.0,0.00%,42,20▲,0,62▲
151,2022-05-01,3008,36.0,0.00%,62,26▼,58,22▼
152,2022-06-01,3008,39.0,0.00%,36,3▲,54,15▼
153,2022-07-01,3008,33.0,0.00%,39,6▼,29,4▲
154,2022-08-01,3008,20.0,0.00%,33,13▼,28,8▼
155,2022-09-01,3008,30.0,0.00%,20,10▲,26,4▲
156,2022-10-01,3008,13.0,0.00%,30,17▼,34,21▼
157,2022-11-01,3008,24.0,0.00%,13,11▲,52,28▼
158,2022-12-01,3008,37.0,0.00%,24,13▲,73,36▼
159,2023-01-01,3008,27.0,0.00%,37,10▼,58,31▼
160,2023-02-01,3008,21.0,0.00%,27,6▼,77,56▼
161,2023-03-01,3008,46.0,0.00%,21,25▲,42,4▲
162,2023-04-01,3008,44.0,0.00%,46,2▼,62,18▼
163,2023-05-01,3008,89.0,0.10%,44,45▲,36,53▲
164,2023-06-01,3008,57.0,0.00%,89,32▼,39,18▲
165,2023-07-01,3008,34.0,0.00%,57,23▼,33,1▲
166,2023-08-01,3008,30.0,0.00%,34,4▼,20,10▲
167,2023-09-01,3008,12.0,0.00%,30,18▼,30,18▼
168,2023-10-01,3008,8.0,0.00%,12,4▼,13,5▼
169,2023-11-01,3008,14.0,0.00%,8,6▲,24,10▼
170,2023-12-01,3008,15.0,0.00%,14,1▲,37,22▼
171,2024-01-01,3008,7.0,0.00%,15,8▼,27,20▼
172,2024-02-01,3008,11.0,0.00%,7,4▲,21,10▼
173,2024-03-01,3008,14.0,0.00%,11,3▲,46,32▼
174,2024-04-01,3008,8.0,0.00%,14,6▼,44,36▼
175,2024-05-01,3008,6.0,0.00%,8,2▼,89,83▼
176,2024-06-01,3008,7.0,0.00%,6,1▲,57,50▼
177,2024-07-01,3008,3.0,0.00%,7,4▼,34,31▼
178,2024-08-01,3008,7.0,0.00%,3,4▲,30,23▼
179,2024-09-01,3008,5.0,0.00%,7,2▼,12,7▼
180,2022-01-01,308,1.0,0.00%,2,1▼,4,3▼
181,2022-07-01,308,36.0,0.00%,0,36▲,0,36▲
182,2022-08-01,308,22.0,0.00%,36,14▼,0,22▲
183,2022-09-01,308,15.0,0.00%,22,7▼,0,15▲
184,2022-10-01,308,7.0,0.00%,15,8▼,0,7▲
185,2022-11-01,308,17.0,0.00%,7,10▲,0,17▲
186,2022-12-01,308,9.0,0.00%,17,8▼,0,9▲
187,2023-01-01,308,6.0,0.00%,9,3▼,0,6▲
188,2023-02-01,308,7.0,0.00%,6,1▲,0,7▲
189,2023-03-01,308,12.0,0.00%,7,5▲,0,12▲
190,2023-04-01,308,9.0,0.00%,12,3▼,0,9▲
191,2023-05-01,308,11.0,0.00%,9,2▲,0,11▲
192,2023-06-01,308,10.0,0.00%,11,1▼,0,10▲
193,2023-07-01,308,5.0,0.00%,10,5▼,36,31▼
194,2023-08-01,308,17.0,0.00%,5,12▲,22,5▼
195,2023-09-01,308,10.0,0.00%,17,7▼,15,5▼
196,2023-10-01,308,11.0,0.00%,10,1▲,7,4▲
197,2023-11-01,308,39.0,0.00%,11,28▲,17,22▲
198,2023-12-01,308,49.0,0.00%,39,10▲,9,40▲
199,2024-01-01,308,28.0,0.00%,49,21▼,6,22▲
200,2024-02-01,308,22.0,0.00%,28,6▼,7,15▲
201,2024-03-01,308,5.0,0.00%,22,17▼,12,7▼
202,2024-06-01,308,1.0,0.00%,0,1▲,10,9▼
203,2022-01-01,4 Series,108.0,0.10%,78,30▲,29,79▲
204,2022-02-01,4 Series,139.0,0.10%,108,31▲,48,91▲
205,2022-03-01,4 Series,52.0,0.00%,139,87▼,124,72▼
206,2022-04-01,4 Series,98.0,0.10%,52,46▲,117,19▼
207,2022-05-01,4 Series,119.0,0.10%,98,21▲,160,41▼
208,2022-06-01,4 Series,69.0,0.00%,119,50▼,242,173▼
209,2022-07-01,4 Series,59.0,0.00%,69,10▼,276,217▼
210,2022-08-01,4 Series,143.0,0.10%,59,84▲,101,42▲
211,2022-09-01,4 Series,178.0,0.10%,143,35▲,81,97▲
212,2022-10-01,4 Series,171.0,0.10%,178,7▼,98,73▲
213,2022-11-01,4 Series,101.0,0.10%,171,70▼,233,132▼
214,2022-12-01,4 Series,133.0,0.10%,101,32▲,78,55▲
215,2023-01-01,4 Series,112.0,0.10%,133,21▼,108,4▲
216,2023-02-01,4 Series,82.0,0.10%,112,30▼,139,57▼
217,2023-03-01,4 Series,87.0,0.10%,82,5▲,52,35▲
218,2023-04-01,4 Series,77.0,0.10%,87,10▼,98,21▼
219,2023-05-01,4 Series,39.0,0.00%,77,38▼,119,80▼
220,2023-06-01,4 Series,165.0,0.10%,39,126▲,69,96▲
221,2023-07-01,4 Series,77.0,0.10%,165,88▼,59,18▲
222,2023-08-01,4 Series,73.0,0.10%,77,4▼,143,70▼
223,2023-09-01,4 Series,138.0,0.10%,73,65▲,178,40▼
224,2023-10-01,4 Series,146.0,0.10%,138,8▲,171,25▼
225,2023-11-01,4 Series,95.0,0.10%,146,51▼,101,6▼
226,2023-12-01,4 Series,105.0,0.10%,95,10▲,133,28▼
227,2024-01-01,4 Series,59.0,0.10%,105,46▼,112,53▼
228,2024-02-01,4 Series,119.0,0.10%,59,60▲,82,37▲
229,2024-03-01,4 Series,103.0,0.10%,119,16▼,87,16▲
230,2024-04-01,4 Series,135.0,0.10%,103,32▲,77,58▲
231,2024-05-01,4 Series,136.0,0.10%,135,1▲,39,97▲
232,2024-06-01,4 Series,129.0,0.10%,136,7▼,165,36▼
233,2024-07-01,4 Series,119.0,0.10%,129,10▼,77,42▲
234,2024-08-01,4 Series,110.0,0.10%,119,9▼,73,37▲
235,2024-09-01,4 Series,89.0,0.10%,110,21▼,138,49▼
236,2023-05-01,408,25.0,0.00%,0,25▲,0,25▲
237,2023-06-01,408,103.0,0.10%,25,78▲,0,103▲
238,2023-07-01,408,46.0,0.00%,103,57▼,0,46▲
239,2023-08-01,408,18.0,0.00%,46,28▼,0,18▲
240,2023-09-01,408,34.0,0.00%,18,16▲,0,34▲
241,2023-10-01,408,27.0,0.00%,34,7▼,0,27▲
242,2023-11-01,408,58.0,0.00%,27,31▲,0,58▲
243,2023-12-01,408,45.0,0.00%,58,13▼,0,45▲
244,2024-01-01,408,33.0,0.00%,45,12▼,0,33▲
245,2024-02-01,408,34.0,0.00%,33,1▲,0,34▲
246,2024-03-01,408,29.0,0.00%,34,5▼,0,29▲
247,2024-04-01,408,37.0,0.00%,29,8▲,0,37▲
248,2024-05-01,408,44.0,0.00%,37,7▲,25,19▲
249,2024-06-01,408,40.0,0.00%,44,4▼,103,63▼
250,2024-07-01,408,39.0,0.00%,40,1▼,46,7▼
251,2024-08-01,408,24.0,0.00%,39,15▼,18,6▲
252,2024-09-01,408,16.0,0.00%,24,8▼,34,18▼
253,2022-06-01,5 Series,876.0,0.60%,"1,765",889▼,"2,021","1,145▼"
254,2022-07-01,5 Series,387.0,0.30%,876,489▼,"1,601","1,214▼"
255,2023-09-01,5 Series,459.0,0.30%,"1,707","1,248▼","1,895","1,436▼"
256,2023-10-01,5 Series,613.0,0.40%,0,613▲,0,613▲
257,2023-11-01,5 Series,8.0,0.00%,31,23▼,"2,231","2,223▼"
258,2023-12-01,5 Series,3.0,0.00%,8,5▼,"2,209","2,206▼"
259,2024-03-01,5 Series,7.0,0.00%,0,7▲,"1,498","1,491▼"
260,2024-04-01,5 Series,26.0,0.00%,7,19▲,"1,601","1,575▼"
261,2024-05-01,5 Series,14.0,0.00%,26,12▼,"1,761","1,747▼"
262,2024-07-01,5 Series,1.0,0.00%,0,1▲,"1,811","1,810▼"
263,2022-01-01,5008,41.0,0.00%,52,11▼,0,41▲
264,2022-02-01,5008,41.0,0.00%,41,0▼,0,41▲
265,2022-03-01,5008,25.0,0.00%,41,16▼,0,25▲
266,2022-04-01,5008,34.0,0.00%,25,9▲,0,34▲
267,2022-05-01,5008,30.0,0.00%,34,4▼,0,30▲
268,2022-06-01,5008,56.0,0.00%,30,26▲,64,8▼
269,2022-07-01,5008,33.0,0.00%,56,23▼,47,14▼
270,2022-08-01,5008,22.0,0.00%,33,11▼,38,16▼
271,2022-09-01,5008,25.0,0.00%,22,3▲,34,9▼
272,2022-10-01,5008,16.0,0.00%,25,9▼,34,18▼
273,2022-11-01,5008,21.0,0.00%,16,5▲,25,4▼
274,2022-12-01,5008,45.0,0.00%,21,24▲,52,7▼
275,2023-01-01,5008,24.0,0.00%,45,21▼,41,17▼
276,2023-02-01,5008,31.0,0.00%,24,7▲,41,10▼
277,2023-03-01,5008,85.0,0.10%,31,54▲,25,60▲
278,2023-04-01,5008,36.0,0.00%,85,49▼,34,2▲
279,2023-05-01,5008,23.0,0.00%,36,13▼,30,7▼
280,2023-06-01,5008,20.0,0.00%,23,3▼,56,36▼
281,2023-07-01,5008,14.0,0.00%,20,6▼,33,19▼
282,2023-08-01,5008,9.0,0.00%,14,5▼,22,13▼
283,2023-09-01,5008,23.0,0.00%,9,14▲,25,2▼
284,2023-10-01,5008,16.0,0.00%,23,7▼,16,0▼
285,2023-11-01,5008,32.0,0.00%,16,16▲,21,11▲
286,2023-12-01,5008,42.0,0.00%,32,10▲,45,3▼
287,2024-01-01,5008,17.0,0.00%,42,25▼,24,7▼
288,2024-02-01,5008,12.0,0.00%,17,5▼,31,19▼
289,2024-03-01,5008,10.0,0.00%,12,2▼,85,75▼
290,2024-04-01,5008,10.0,0.00%,10,0▼,36,26▼
291,2024-05-01,5008,15.0,0.00%,10,5▲,23,8▼
292,2024-06-01,5008,10.0,0.00%,15,5▼,20,10▼
293,2024-07-01,5008,12.0,0.00%,10,2▲,14,2▼
294,2024-08-01,5008,4.0,0.00%,12,8▼,9,5▼
295,2024-09-01,5008,6.0,0.00%,4,2▲,23,17▼
296,2022-01-01,508,6.0,0.00%,31,25▼,4,2▲
297,2022-02-01,508,19.0,0.00%,6,13▲,4,15▲
298,2022-05-01,508,8.0,0.00%,0,8▲,7,1▲
299,2022-06-01,508,10.0,0.00%,8,2▲,13,3▼
300,2022-07-01,508,8.0,0.00%,10,2▼,6,2▲
301,2022-08-01,508,2.0,0.00%,8,6▼,6,4▼
302,2022-09-01,508,2.0,0.00%,2,0▼,22,20▼
303,2022-10-01,508,7.0,0.00%,2,5▲,24,17▼
304,2022-11-01,508,5.0,0.00%,7,2▼,24,19▼
305,2022-12-01,508,4.0,0.00%,5,1▼,31,27▼
306,2023-01-01,508,5.0,0.00%,4,1▲,6,1▼
307,2023-02-01,508,5.0,0.00%,5,0▼,19,14▼
308,2023-03-01,508,7.0,0.00%,5,2▲,0,7▲
309,2023-04-01,508,3.0,0.00%,7,4▼,0,3▲
310,2023-05-01,508,3.0,0.00%,3,0▼,8,5▼
311,2023-06-01,508,5.0,0.00%,3,2▲,10,5▼
312,2023-07-01,508,1.0,0.00%,5,4▼,8,7▼
313,2023-08-01,508,5.0,0.00%,1,4▲,2,3▲
314,2023-09-01,508,12.0,0.00%,5,7▲,2,10▲
315,2023-10-01,508,3.0,0.00%,12,9▼,7,4▼
316,2023-11-01,508,2.0,0.00%,3,1▼,5,3▼
317,2023-12-01,508,3.0,0.00%,2,1▲,4,1▼
318,2024-01-01,508,1.0,0.00%,3,2▼,5,4▼
319,2024-03-01,508,5.0,0.00%,0,5▲,7,2▼
320,2024-04-01,508,1.0,0.00%,5,4▼,3,2▼
321,2022-02-01,508 SW,2.0,0.00%,0,2▲,0,2▲
322,2022-01-01,6 Series,329.0,0.30%,275,54▲,303,26▲
323,2022-02-01,6 Series,326.0,0.30%,329,3▼,316,10▲
324,2022-03-01,6 Series,228.0,0.20%,326,98▼,338,110▼
325,2022-04-01,6 Series,502.0,0.40%,228,274▲,306,196▲
326,2022-05-01,6 Series,336.0,0.20%,502,166▼,313,23▲
327,2022-06-01,6 Series,195.0,0.10%,336,141▼,197,2▼
328,2022-07-01,6 Series,152.0,0.10%,195,43▼,514,362▼
329,2022-08-01,6 Series,599.0,0.50%,152,447▲,195,404▲
330,2022-09-01,6 Series,528.0,0.40%,599,71▼,227,301▲
331,2022-10-01,6 Series,397.0,0.30%,528,131▼,311,86▲
332,2022-11-01,6 Series,309.0,0.20%,397,88▼,111,198▲
333,2022-12-01,6 Series,357.0,0.20%,309,48▲,275,82▲
334,2023-01-01,6 Series,389.0,0.30%,357,32▲,329,60▲
335,2023-02-01,6 Series,653.0,0.40%,389,264▲,326,327▲
336,2023-03-01,6 Series,468.0,0.30%,653,185▼,228,240▲
337,2023-04-01,6 Series,396.0,0.30%,468,72▼,502,106▼
338,2023-05-01,6 Series,522.0,0.30%,396,126▲,336,186▲
339,2023-06-01,6 Series,699.0,0.40%,522,177▲,195,504▲
340,2023-07-01,6 Series,434.0,0.30%,699,265▼,152,282▲
341,2023-08-01,6 Series,445.0,0.30%,434,11▲,599,154▼
342,2023-09-01,6 Series,550.0,0.40%,445,105▲,528,22▲
343,2023-10-01,6 Series,467.0,0.30%,550,83▼,397,70▲
344,2023-11-01,6 Series,434.0,0.30%,467,33▼,309,125▲
345,2023-12-01,6 Series,223.0,0.20%,434,211▼,357,134▼
346,2024-01-01,6 Series,124.0,0.10%,223,99▼,389,265▼
347,2024-02-01,6 Series,185.0,0.20%,124,61▲,653,468▼
348,2024-03-01,6 Series,175.0,0.10%,185,10▼,468,293▼
349,2024-04-01,6 Series,210.0,0.10%,175,35▲,396,186▼
350,2024-05-01,6 Series,689.0,0.50%,210,479▲,522,167▲
351,2024-06-01,6 Series,637.0,0.50%,689,52▼,699,62▼
352,2024-07-01,6 Series,680.0,0.50%,637,43▲,434,246▲
353,2024-08-01,6 Series,674.0,0.50%,680,6▼,445,229▲
354,2024-09-01,6 Series,421.0,0.30%,674,253▼,550,129▼
355,2022-01-01,7 Series,194.0,0.20%,171,23▲,291,97▼
356,2022-02-01,7 Series,188.0,0.20%,194,6▼,218,30▼
357,2022-03-01,7 Series,208.0,0.20%,188,20▲,254,46▼
358,2022-04-01,7 Series,380.0,0.30%,208,172▲,223,157▲
359,2022-05-01,7 Series,250.0,0.20%,380,130▼,328,78▼
360,2022-06-01,7 Series,349.0,0.20%,250,99▲,424,75▼
361,2022-07-01,7 Series,275.0,0.20%,349,74▼,179,96▲
362,2022-08-01,7 Series,432.0,0.30%,275,157▲,74,358▲
363,2022-09-01,7 Series,302.0,0.20%,432,130▼,141,161▲
364,2022-10-01,7 Series,51.0,0.00%,302,251▼,241,190▼
365,2022-11-01,7 Series,123.0,0.10%,51,72▲,142,19▼
366,2022-12-01,7 Series,232.0,0.10%,0,232▲,0,232▲
367,2023-01-01,7 Series,91.0,0.10%,232,141▼,0,91▲
368,2023-02-01,7 Series,140.0,0.10%,91,49▲,0,140▲
369,2023-03-01,7 Series,163.0,0.10%,140,23▲,0,163▲
370,2023-04-01,7 Series,214.0,0.10%,163,51▲,0,214▲
371,2023-05-01,7 Series,261.0,0.20%,214,47▲,0,261▲
372,2023-06-01,7 Series,388.0,0.20%,261,127▲,0,388▲
373,2023-07-01,7 Series,305.0,0.20%,388,83▼,0,305▲
374,2023-08-01,7 Series,423.0,0.30%,305,118▲,0,423▲
375,2023-09-01,7 Series,368.0,0.30%,423,55▼,0,368▲
376,2023-10-01,7 Series,210.0,0.10%,368,158▼,0,210▲
377,2023-11-01,7 Series,545.0,0.30%,210,335▲,0,545▲
378,2023-12-01,7 Series,377.0,0.30%,545,168▼,232,145▲
379,2024-01-01,7 Series,87.0,0.10%,377,290▼,91,4▼
380,2024-02-01,7 Series,332.0,0.30%,87,245▲,140,192▲
381,2024-03-01,7 Series,388.0,0.30%,332,56▲,163,225▲
382,2024-04-01,7 Series,412.0,0.30%,388,24▲,214,198▲
383,2024-05-01,7 Series,327.0,0.20%,412,85▼,261,66▲
384,2024-06-01,7 Series,371.0,0.30%,327,44▲,388,17▼
385,2024-07-01,7 Series,420.0,0.30%,371,49▲,305,115▲
386,2024-08-01,7 Series,292.0,0.20%,420,128▼,423,131▼
387,2024-09-01,7 Series,417.0,0.30%,292,125▲,368,49▲
388,2022-01-01,718 Boxster,75.0,0.10%,54,21▲,10,65▲
389,2022-02-01,718 Boxster,59.0,0.00%,75,16▼,43,16▲
390,2022-03-01,718 Boxster,52.0,0.00%,59,7▼,69,17▼
391,2022-04-01,718 Boxster,52.0,0.00%,52,0▼,68,16▼
392,2022-05-01,718 Boxster,54.0,0.00%,52,2▲,27,27▲
393,2022-06-01,718 Boxster,19.0,0.00%,54,35▼,60,41▼
394,2022-07-01,718 Boxster,20.0,0.00%,19,1▲,20,0▼
395,2022-08-01,718 Boxster,5.0,0.00%,20,15▼,45,40▼
396,2022-10-01,718 Boxster,18.0,0.00%,0,18▲,23,5▼
397,2022-11-01,718 Boxster,33.0,0.00%,18,15▲,49,16▼
398,2022-12-01,718 Boxster,21.0,0.00%,33,12▼,54,33▼
399,2023-01-01,718 Boxster,15.0,0.00%,21,6▼,75,60▼
400,2023-02-01,718 Boxster,20.0,0.00%,15,5▲,59,39▼
401,2023-03-01,718 Boxster,11.0,0.00%,20,9▼,52,41▼
402,2023-04-01,718 Boxster,59.0,0.00%,11,48▲,52,7▲
